timestamp,n_qubits,encoding,encoding_reps,optimizer,n_train,n_test,maxiter,autoencoder_epochs,autoencoder_batch_size,train_seconds,accuracy,balanced_accuracy,kappa,precision,recall,f1,tn,fp,fn,tp,
2026-04-21T08:54:41,8,pauli_y,3,cobyla,700,300,40,20,32,638.3938792999834,0.5366666666666666,0.5336538461538461,0.0676147035148914,0.5196850393700787,0.4583333333333333,0.4870848708487085,95,61,78,66,
2026-04-21T23:22:41,8,pauli_y,3,adam,700,300,40,20,32,52074.73862060002,0.48333333333333334,0.483974358974359,-0.031957390146471365,0.4645161290322581,0.5,0.4816053511705686,73,83,72,72,
2026-04-21T23:30:23,8,z_feature_map,1,cobyla,700,300,40,20,32,458.57107399997767,0.5566666666666666,0.5566239316239316,0.11309682582021874,0.5369127516778524,0.5555555555555556,0.5460750853242321,87,69,64,80,
2026-04-22T09:55:52,8,z_feature_map,1,adam,700,300,40,20,32,37525.560377799964,0.45666666666666667,0.4545940170940171,-0.09103078982597057,0.42962962962962964,0.4027777777777778,0.4157706093189964,79,77,86,58,
2026-04-22T10:04:12,8,z_feature_map,2,cobyla,700,300,40,20,32,496.57111930003157,0.5766666666666667,0.5755876068376069,0.15129644480085536,0.5602836879432624,0.5486111111111112,0.5543859649122806,94,62,65,79,
2026-04-22T21:23:10,8,z_feature_map,2,adam,700,300,40,20,32,40734.425841799995,0.58,0.577190170940171,0.15504291845493567,0.5703125,0.5069444444444444,0.5367647058823529,101,55,71,73,
2026-04-22T21:32:08,8,z_feature_map,3,cobyla,700,300,40,20,32,533.907245200011,0.5133333333333333,0.5178952991452992,0.035412262156448326,0.4945652173913043,0.6319444444444444,0.5548780487804879,63,93,53,91,
2026-04-23T09:45:52,8,z_feature_map,3,adam,700,300,40,20,32,44019.69122339995,0.51,0.5104166666666667,0.02078337330135893,0.49019607843137253,0.5208333333333334,0.5050505050505051,78,78,69,75,
2026-04-23T09:54:25,8,zz_feature_map_linear,1,cobyla,700,300,40,20,32,510.060100600007,0.43666666666666665,0.4361645299145299,-0.1275687216439818,0.41496598639455784,0.4236111111111111,0.41924398625429554,70,86,83,61,
2026-04-23T21:28:19,8,zz_feature_map_linear,1,adam,700,300,40,20,32,41629.52697190002,0.4866666666666667,0.4863782051282052,-0.027214514407684076,0.46621621621621623,0.4791666666666667,0.4726027397260274,77,79,75,69,
2026-04-23T21:38:19,8,zz_feature_map_linear,2,cobyla,700,300,40,20,32,596.04765949992,0.51,0.5093482905982907,0.018691588785046842,0.4896551724137931,0.4930555555555556,0.4913494809688581,82,74,73,71,
2026-04-24T11:13:50,8,zz_feature_map_linear,2,adam,700,300,40,20,32,48926.842230499955,0.5333333333333333,0.531517094017094,0.06316916488222701,0.5147058823529411,0.4861111111111111,0.5,90,66,74,70,
2026-04-24T11:25:20,8,zz_feature_map_linear,3,cobyla,700,300,40,20,32,685.1508270999184,0.44666666666666666,0.4444444444444444,-0.11140867702196022,0.417910447761194,0.3888888888888889,0.4028776978417266,78,78,88,56,
2026-04-25T03:02:08,8,zz_feature_map_linear,3,adam,700,300,40,20,32,56202.702414399944,0.58,0.579059829059829,0.15820416889363975,0.5633802816901409,0.5555555555555556,0.5594405594405595,94,62,64,80,
2026-04-25T03:13:16,8,zz_feature_map_full,1,cobyla,700,300,40,20,32,663.2527055999963,0.5066666666666667,0.5056089743589743,0.011223944414751497,0.4859154929577465,0.4791666666666667,0.4825174825174825,83,73,75,69,
2026-04-25T18:13:33,8,zz_feature_map_full,1,adam,700,300,40,20,32,54011.91063150007,0.5033333333333333,0.5024038461538461,0.004808976756612293,0.4825174825174825,0.4791666666666667,0.4808362369337979,82,74,75,69,
2026-04-25T18:28:42,8,zz_feature_map_full,2,cobyla,700,300,40,20,32,902.7795396000147,0.49666666666666665,0.4962606837606838,-0.0074726447824926545,0.47619047619047616,0.4861111111111111,0.48109965635738833,79,77,74,70,
2026-04-26T14:57:16,8,zz_feature_map_full,2,adam,700,300,40,20,32,73707.26953460008,0.5266666666666666,0.5269764957264957,0.05383795309168449,0.506578947368421,0.5347222222222222,0.5202702702702703,81,75,67,77,
2026-04-26T15:16:32,8,zz_feature_map_full,3,cobyla,700,300,40,20,32,1147.6140853000106,0.47333333333333333,0.47435897435897434,-0.05109100585417781,0.45569620253164556,0.5,0.4768211920529801,70,86,72,72,
2026-04-27T17:14:45,8,zz_feature_map_full,3,adam,700,300,40,20,32,93484.34756689996,0.5033333333333333,0.5042735042735043,0.008517434122970458,0.4840764331210191,0.5277777777777778,0.5049833887043189,75,81,68,76,
